"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
61,"1121 Shadow Shade Dr",36.00788,-78.608665,27587,2058951372,"Wake Forest","WAKE","NC","US"
62,"1700 Golden Honey Dr",36.00788,-78.608665,27587,2060400136,"Wake Forest","WAKE","NC","US"
63,"1753 Golden Honey Dr",36.00788,-78.608665,27587,2061480711,"Wake Forest","WAKE","NC","US"
64,"865 Whistable Ave #53",36.00788,-78.608665,27587,2062055511,"Wake Forest","WAKE","NC","US"
65,"109 Cardinal Dr",35.97411,-78.49931,27587,6431534,"Wake Forest","WAKE","NC","US"
66,"707 Saint Catherines Dr",35.990955,-78.518074,27587,6541474,"Wake Forest","WAKE","NC","US"
67,"1400 Kinnesaw St",35.934505,-78.50191,27587,305123786,"Wake Forest","WAKE","NC","US"
68,"8925 Lee Brown Ridge Dr",35.921303,-78.52669,27587,331655976,"Wake Forest","WAKE","NC","US"
69,"509 Friendship Chapel Rd #HVA-0057",35.921303,-78.52669,27587,2058457963,"Wake Forest","WAKE","NC","US"
70,"872 Lochmaben St",35.991474,-78.52282,27587,6498181,"Wake Forest","WAKE","NC","US"
71,"4112 Field Oak Dr",35.94183,-78.48721,27587,113221537,"Wake Forest","WAKE","NC","US"
72,"709 Sparrowhawk Ln",35.98371,-78.48821,27587,215493488,"Wake Forest","WAKE","NC","US"
73,"2116 Possum Trot Rd",36.00857,-78.524704,27587,6452616,"Wake Forest","WAKE","NC","US"
74,"642 Guinness Pl",35.994045,-78.520615,27587,6528208,"Wake Forest","WAKE","NC","US"
75,"701 Deacon Ridge St",35.968334,-78.507965,27587,6557004,"Wake Forest","WAKE","NC","US"
76,"2013 Longmont Dr",35.963093,-78.463554,27587,94723467,"Wake Forest","WAKE","NC","US"
77,"1233 Golden Star Way",35.940186,-78.491425,27587,110621999,"Wake Forest","WAKE","NC","US"
78,"324 Austin View Blvd",35.961544,-78.46908,27587,124425102,"Wake Forest","WAKE","NC","US"
79,"209 Kavanaugh Rd",35.957863,-78.456245,27587,336867761,"Wake Forest","WAKE","NC","US"
80,"7648 Hasentree Way #514",35.957863,-78.456245,27587,2061263465,"Wake Forest","WAKE","NC","US"
81,"3408 Coach Lantern Ave",35.91584,-78.52189,27587,50105304,"Wake Forest","WAKE","NC","US"
82,"852 Wildflower Ridge Rd",35.979855,-78.49337,27587,122186858,"Wake Forest","WAKE","NC","US"
83,"7125 Cove Lake Dr",35.973984,-78.59847,27587,122276463,"Wake Forest","WAKE","NC","US"
